Timestamp,Real,Imaginary
2730 ns,-153071,857342
2731 ns,1.03855e+06,-433051
2732 ns,-154012,1.4188e+06
2733 ns,-449026,-205338
2734 ns,664490,-1.77117e+06
2735 ns,-1.75187e+06,422822
2736 ns,-645720,-104540
2737 ns,-703747,871681
2738 ns,499958,-803989
2739 ns,39894,-682657
2740 ns,1.31679e+06,-551304
2741 ns,-1.78098e+06,-36550
2742 ns,353620,-455675
2743 ns,-2.21343e+06,-329443
2744 ns,214647,280379
2745 ns,113362,224264
2746 ns,193214,-433132
2747 ns,-373784,-75793
2748 ns,-108617,605405
2749 ns,-390212,-600153
2750 ns,-518314,-1.71883e+06
2751 ns,513459,-216974
2752 ns,-632832,-414888
2753 ns,893216,623923
2754 ns,-647809,568229
2755 ns,-67313,750711
2756 ns,-413933,-707565
2757 ns,-559852,640784
2758 ns,381220,1.09244e+06
2759 ns,-408293,884219
2760 ns,-134290,-261251
2761 ns,697224,450792
2762 ns,-488011,-186216
2763 ns,-830777,1.47323e+06
2764 ns,-1.03007e+06,807913
2765 ns,276250,1.42937e+06
2766 ns,-348586,-306476
2767 ns,534098,-256250
2768 ns,97861,-393761
2769 ns,-375406,-934487
2770 ns,-44274,-125781
2771 ns,389350,-624899
2772 ns,958220,-365191
2773 ns,501914,1.57544e+06
2774 ns,-146839,-165937
2775 ns,-316800,1.33751e+06
2776 ns,83044,-140620
2777 ns,185348,396832
2778 ns,-514628,-896023
2779 ns,-267861,1.82926e+06
2780 ns,-287968,101230
2781 ns,-1.21725e+06,549829
2782 ns,362108,75283
2783 ns,-638229,-769602
2784 ns,1.43884e+06,1.20376e+06
2785 ns,1.09543e+06,717670
2786 ns,-838561,-184384
2787 ns,-330003,-473322
2788 ns,339519,225234
2789 ns,-41097,-215464
2790 ns,474520,-720265
2791 ns,-57491,38091
2792 ns,71011,-65444
2793 ns,969610,-18552
2794 ns,-477561,-1.49481e+06
2795 ns,-688999,-341442
2796 ns,185305,759171
2797 ns,824834,-1.3984e+06
2798 ns,749976,274691
2799 ns,96668,-27461
2800 ns,-1.12919e+06,-757173
2801 ns,1.0786e+06,1.1535e+06
2802 ns,-348016,1.47284e+06
2803 ns,708095,680378
2804 ns,-843473,-231914
2805 ns,420618,628628
2806 ns,-1.54495e+06,-51516
2807 ns,847560,1.70151e+06
2808 ns,-644240,-472966
2809 ns,-804375,-839757
2810 ns,435046,-1.13717e+06
2811 ns,-130982,-418981
2812 ns,411339,-752390
2813 ns,508864,86028
2814 ns,-242298,514036
2815 ns,224687,-354515
2816 ns,-514001,-841107
2817 ns,883000,-305463
2818 ns,133574,-480140
2819 ns,-215863,-704953
2820 ns,-49551,864924
2821 ns,740071,970292
2822 ns,-380904,1.84431e+06
2823 ns,-255111,-647509
2824 ns,2.15466e+06,-513012
2825 ns,216155,284210
2826 ns,-150758,-266730
2827 ns,418465,-1.32974e+06
2828 ns,746031,-134465
2829 ns,1.65565e+06,-881013
2830 ns,1.01963e+06,24743
2831 ns,95835,797148
2832 ns,-1.03676e+06,-969113
2833 ns,-764753,1.69006e+06
2834 ns,-1.21675e+06,1.25775e+06
2835 ns,88604,-1.40452e+06
2836 ns,-76555,1.1001e+06
2837 ns,-367123,598422
2838 ns,162049,34017
2839 ns,-524833,-701655
2840 ns,-256761,-1.39729e+06
2841 ns,-944832,170982
2842 ns,-928062,-1.06604e+06
2843 ns,-1.24301e+06,827862
2844 ns,146776,-347590
2845 ns,-28537,-274750
2846 ns,-24272,-1.76984e+06
2847 ns,1.7565e+06,-1.09937e+06
2848 ns,-1.0592e+06,-337200
2849 ns,640512,-410096
2852 ns,48284,-1.00351e+06
2853 ns,-304633,-767088
2854 ns,-1.27854e+06,-1.55705e+06
2855 ns,-1.05233e+06,-304040
2856 ns,424671,-471249
2857 ns,598221,-787571
2858 ns,656694,-378009
2859 ns,1.03307e+06,1.95556e+06
2860 ns,-1.45606e+06,1.05216e+06
2861 ns,291455,570208
2862 ns,-482512,365099
2863 ns,1.42969e+06,272476
2864 ns,717334,-629993
2865 ns,877851,-293893
2866 ns,-215252,46992
2867 ns,-287373,-577104
2868 ns,1.42412e+06,-1.15759e+06
2869 ns,-1.3031e+06,-1.13674e+06
2870 ns,128684,667702
2871 ns,-90236,42881
2872 ns,-189263,-77133
2873 ns,315348,35120
2874 ns,-1.15933e+06,-1.09307e+06
2875 ns,1.40958e+06,842689
2876 ns,-590532,40518
2877 ns,-402474,-321668
2878 ns,1.60854e+06,-297241
2879 ns,-1.00656e+06,-842263
2880 ns,-112272,-1.21836e+06
2881 ns,724595,89060
2882 ns,1.35415e+06,-429680
2883 ns,-474129,-844547
2884 ns,-935932,770381
2885 ns,-569973,574938
2886 ns,-473016,-210944
2887 ns,651720,-649858
2888 ns,1.17853e+06,547096
2889 ns,1.10424e+06,263670
2890 ns,-941847,-598378
2891 ns,310456,-398709
2892 ns,419567,-396745
2893 ns,460640,-1.2315e+06
2894 ns,-612571,1.03204e+06
